Order,PID,MS SubClass,MS Zoning,Lot Frontage,Lot Area,Lot Shape,Land Contour,Lot Config,Neighborhood,Condition 1,Bldg Type,House Style,Overall Qual,Overall Cond,Year Built,Year Remod/Add,Roof Style,Exterior 1st,Mas Vnr Type,Mas Vnr Area,Exter Qual,Exter Cond,Foundation,Bsmt Qual,Bsmt Cond,Bsmt Exposure,BsmtFin Type 1,BsmtFin SF 1,BsmtFin Type 2,BsmtFin SF 2,Bsmt Unf SF,Total Bsmt SF,Heating QC,Central Air,Electrical,1st Flr SF,2nd Flr SF,Low Qual Fin SF,Gr Liv Area,Bsmt Full Bath,Bsmt Half Bath,Full Bath,Half Bath,Bedroom AbvGr,Kitchen AbvGr,Kitchen Qual,TotRms AbvGrd,Functional,Fireplaces,Garage Type,Garage Yr Blt,Garage Finish,Garage Cars,Paved Drive,Wood Deck SF,Open Porch SF,Enclosed Porch,3Ssn Porch,Screen Porch,Pool Area,Misc Val,Mo Sold,Yr Sold,Sale Type,Sale Condition,SalePrice,Total_Bathrooms,Total_Porch_SF,Lot Area_Log,SalePrice_Log
1,526301100,20,5,141.0,31770,0,3,0,15,2,0,2,6,5,1960,1960,3,3,4,112.0,3,3,1,3,4,1,1,639.0,6,0.0,441.0,1080.0,2,1,4,1656,0,0,1656,1.0,0.0,1,0,3,1,3,7,7,2,1,1960.0,0,2.0,1,210,62,0,0,0,0,0,5,2010,9,4,215000,2.0,62,10.366309203003638,12.278397958261774
2,526350040,20,4,80.0,11622,3,3,4,15,1,0,2,5,6,1961,1961,1,13,3,0.0,3,3,1,3,3,3,5,468.0,3,144.0,270.0,882.0,3,1,4,896,0,0,896,0.0,0.0,1,0,2,1,3,5,7,0,1,1961.0,3,1.0,2,140,0,0,0,120,0,0,6,2010,9,4,105000,1.0,120,9.360741172643708,11.561725152903833
3,526351010,20,5,81.0,14267,0,3,0,15,2,0,2,6,6,1958,1958,3,14,1,108.0,3,3,1,3,3,3,0,923.0,6,0.0,406.0,1329.0,3,1,4,1329,0,0,1329,0.0,0.0,1,1,3,1,4,6,7,0,1,1958.0,3,1.0,2,393,36,0,0,0,0,12500,6,2010,9,4,172000,1.5,36,9.565774546478782,12.055255569732177
4,526353030,20,5,93.0,11160,3,3,0,15,2,0,2,7,5,1968,1968,3,3,3,0.0,4,3,1,3,3,3,0,1065.0,6,0.0,1045.0,2110.0,5,1,4,2110,0,0,2110,1.0,0.0,2,1,3,1,5,8,7,2,1,1968.0,0,2.0,2,0,0,0,0,0,0,0,4,2010,9,4,244000,3.5,0,9.320180837655714,12.404927602627597
5,527105010,60,5,74.0,13830,0,3,4,8,2,0,5,5,5,1997,1998,1,13,3,0.0,3,3,2,4,3,3,2,791.0,6,0.0,137.0,928.0,4,1,4,928,701,0,1629,0.0,0.0,2,1,3,1,3,6,7,1,1,1997.0,0,2.0,2,212,34,0,0,0,0,0,3,2010,9,4,189900,2.5,34,9.534667728624708,12.15425816271595
6,527105030,60,5,78.0,9978,0,3,4,8,2,0,5,6,6,1998,1998,1,13,1,20.0,3,3,2,3,3,3,2,602.0,6,0.0,324.0,926.0,5,1,4,926,678,0,1604,0.0,0.0,2,1,3,1,4,7,7,1,1,1998.0,0,2.0,2,360,36,0,0,0,0,0,6,2010,9,4,195500,2.5,36,9.208238163884312,12.18332077348399
7,527127150,120,5,41.0,4920,3,3,4,25,2,4,2,8,5,2001,2001,1,5,3,0.0,4,3,2,4,3,2,2,616.0,6,0.0,722.0,1338.0,5,1,4,1338,0,0,1338,1.0,0.0,2,0,2,1,4,6,7,0,1,2001.0,0,2.0,2,0,0,170,0,0,0,0,4,2010,9,4,213500,3.0,170,8.501267040865978,12.271396795480596
8,527145080,120,5,43.0,5005,0,1,4,25,2,4,2,8,5,1992,1992,1,6,3,0.0,4,3,2,4,3,3,0,263.0,6,0.0,1017.0,1280.0,5,1,4,1280,0,0,1280,0.0,0.0,2,0,2,1,4,5,7,0,1,1992.0,2,2.0,2,0,82,0,0,144,0,0,1,2010,9,4,191500,2.0,226,8.518392471991719,12.162648309521318
9,527146030,120,5,39.0,5389,0,3,4,25,2,4,2,8,5,1995,1996,1,5,3,0.0,4,3,2,4,3,3,2,1180.0,6,0.0,415.0,1595.0,5,1,4,1616,0,0,1616,1.0,0.0,2,0,2,1,4,5,7,1,1,1995.0,2,2.0,2,237,152,0,0,0,0,0,3,2010,9,4,236500,3.0,152,8.592300663903043,12.373707715234994
10,527162130,60,5,60.0,7500,3,3,4,8,2,0,5,7,5,1999,1999,1,13,3,0.0,3,3,2,3,3,3,6,0.0,6,0.0,994.0,994.0,4,1,4,1028,776,0,1804,0.0,0.0,2,1,3,1,4,7,7,1,1,1999.0,0,2.0,2,140,60,0,0,0,0,0,6,2010,9,4,189000,2.5,60,8.922791623969637,12.149507585033072
11,527163010,60,5,75.0,10000,0,3,0,8,2,0,5,6,5,1993,1994,1,6,3,0.0,3,3,2,4,3,3,6,0.0,6,0.0,763.0,763.0,4,1,4,763,892,0,1655,0.0,0.0,2,1,3,1,3,7,7,1,1,1993.0,0,2.0,2,157,84,0,0,0,0,0,4,2010,9,4,175900,2.5,84,9.210440366976517,12.077676615757813
12,527165230,20,5,64.0,7980,0,3,4,8,2,0,2,6,7,1992,2007,1,6,3,0.0,3,4,2,4,3,3,0,935.0,6,0.0,233.0,1168.0,5,1,4,1187,0,0,1187,1.0,0.0,2,0,3,1,3,6,7,0,1,1992.0,0,2.0,2,483,21,0,0,0,0,500,3,2010,9,4,185000,3.0,21,8.984818995876008,12.128116509451258
13,527166040,60,5,63.0,8402,0,3,4,8,2,0,5,6,5,1998,1998,1,13,3,0.0,3,3,2,4,3,3,6,0.0,6,0.0,789.0,789.0,4,1,4,789,676,0,1465,0.0,0.0,2,1,3,1,3,7,7,1,1,1998.0,0,2.0,2,0,75,0,0,0,0,0,5,2010,9,4,180400,2.5,75,9.036344063928219,12.102937429832547
14,527180040,20,5,85.0,10176,3,3,4,8,2,0,2,7,5,1990,1990,1,6,3,0.0,3,3,2,4,3,1,2,637.0,6,0.0,663.0,1300.0,4,1,4,1341,0,0,1341,1.0,0.0,1,1,2,1,4,5,7,1,1,1990.0,3,2.0,2,192,0,0,0,0,0,0,2,2010,9,4,171500,2.5,0,9.227885551191932,12.052344376474922
